language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Croatian Corpus	cited_context | citing_context	hrWaC corpus	https://doi.org/10.18653/v1/W17-1727 (2017), https://doi.org/10.4312/SLO2.0.2013.2.35-57 (2013), https://doi.org/10.18653/v1/W17-1409 (2017), https://www.semanticscholar.org/paper/90477234a782117b1d0273b9c1f73194fa65e9e5 (2013)	https://doi.org/10.1007/978-3-642-23538-2_50 (2011), https://www.semanticscholar.org/paper/90477234a782117b1d0273b9c1f73194fa65e9e5 (2013)	The hrWaC corpus is primarily used for linguistic analysis, particularly focusing on multi-word expressions (MWEs) in Croatian. It is utilized to analyze the distribution and usage patterns of MWEs in web texts, compile a lexicon of MWEs, and train models for identifying MWEs. The dataset's large size (1.2B tokens) and web-derived content enable detailed statistical feature extraction and annotation adjudication, contributing to the development of linguistic resources and models.; The hrWaC dataset is used for Croatian language processing, specifically to build 300-dimensional word vectors using tools like word2vec and tf-idf-weighted bag-of-words. It supports tasks such as part-of-speech tagging, lemmatization, and dependency parsing, often employing skip-gram embeddings and MSTParser for training and evaluation. This web corpus enhances vector quality and facilitates various linguistic analyses.	hrWaC
Croatian Corpus	citing_context	hrWaC2	https://www.semanticscholar.org/paper/0678f4a1e5d0af642b4659a3da7c0bf0538326e1 (2016)	https://doi.org/10.3115/v1/W14-0405 (2014)	The hrWaC2 dataset, a Croatian language corpus containing web texts, is used for linguistic analysis and natural language processing tasks. Researchers utilize this dataset to extract and analyze data, focusing on the Croatian language. The corpus enables detailed linguistic studies and supports the development of NLP models tailored to the Croatian language.	
Croatian Corpus	citing_context	initial Croatian dataset	https://doi.org/10.4312/SLO2.0.2013.2.35-57 (2013)	https://doi.org/10.3115/1557769.1557830 (2007)	The initial Croatian dataset is used to train a part-of-speech (POS) tagger model for Croatian data, specifically employing the HunPos tagger. This dataset focuses on enhancing the accuracy of POS tagging for unseen data, enabling more reliable linguistic analysis and natural language processing tasks in the Croatian language.	
Croatian Corpus	cited_context	JOS corpus of Slovene	https://www.semanticscholar.org/paper/a5e7d1e42e7c0010b450dbfb1dad52df9523e0a1 (2014)	https://www.semanticscholar.org/paper/cedf0376f7ada5c478d3877b7ca2ef73714356fc (2010)	The JOS corpus of Slovene is used as a reference for linguistic tagging and treebanking practices, aiding in the development of similar resources for Croatian. It is also utilized for experiments in named entity recognition for both Croatian and Slovene, providing linguistic data for training and evaluation. This dataset's comprehensive tagging and structured content enable researchers to develop and refine natural language processing tools and methodologies.	
Croatian Corpus	citing_context	large dataset of tweets in Croatian	https://doi.org/10.3390/electronics13101991 (2024)	https://doi.org/10.3390/app112110442 (2021)	The large dataset of tweets in Croatian is used for sentiment analysis, particularly focusing on public sentiment during the pandemic. Researchers employ natural language processing (NLP) techniques to develop frameworks that analyze and understand the emotional tone of Croatian tweets related to the crisis. This dataset enables detailed insights into public reactions and perceptions, facilitating a nuanced understanding of societal responses to the pandemic.	
Croatian Corpus	citing_context	Leximirka data category thesaurus	https://www.semanticscholar.org/paper/3372b740359499a2b946f8132308b55813599749 (2024)		The Leximirka data category thesaurus is used to control and extract morphological, domain, syntactic, and semantic features of lexical entries in Croatian language research. It supports structured linguistic analysis by applying hand-crafted rules to establish links between entries, enabling detailed examination and categorization of lexical data.	
Croatian Corpus	citing_context	LIdioms	https://www.semanticscholar.org/paper/521226d684c390c76a3136c1e401e61de16d627c (2024)	https://www.semanticscholar.org/paper/a74fd4914cfd5c5cafd7607289ff3dc0b1a81a51 (2018)	The LIdioms dataset is used to link idioms across multiple languages, focusing on multilingual aspects of idiom usage and translation. It models data according to multilingual linked idioms specifications, emphasizing linguistic structures and cross-language relationships. The dataset's schema and format are referenced to structure lexical entries and senses, supporting natural language processing applications by enhancing cross-lingual understanding and processing.	
Croatian Corpus	citing_context	MaCoCu Corpora	https://doi.org/10.1109/ACCESS.2025.3544814 (2024)	https://www.semanticscholar.org/paper/24f404b302d20aa9002abaea078a810b2ec42f1a (2022)	The MaCoCu Corpora dataset is used to support research in under-resourced European languages, including Croatian, by leveraging comparable web corpora. It ensures comparability between language-specific datasets, facilitating the evaluation and development of methodologies tailored for these languages. This dataset enables researchers to address challenges in less-resourced language processing and improve the performance of natural language processing systems in such contexts.	
Croatian Corpus	cited_context	MULTEXT-East	https://doi.org/10.18653/v1/W19-3704 (2019)	https://doi.org/10.1007/s10579-011-9174-8 (2011)	The MULTEXT-East dataset is used to define morphosyntactic descriptions for Central and Eastern European languages, focusing on encoding part-of-speech and feature-value pairs. This enables detailed morphosyntactic analysis, supporting research in linguistic annotation and computational linguistics. The dataset's structured format facilitates consistent and standardized analysis across multiple languages.	
Croatian Corpus	citing_context	Multi-SimLex	https://doi.org/10.18653/v1/2020.semeval-1.3 (2020)	https://doi.org/10.1162/coli_a_00391 (2020)	The Multi-SimLex dataset is used to evaluate multilingual and crosslingual lexical semantic similarity, specifically focusing on 1,888 concept pairs across 13 typologically diverse languages. Researchers employ this dataset to assess the performance of models in capturing semantic relationships between words in different languages, enabling the comparison of lexical semantic similarity across linguistic boundaries.	
Croatian Corpus	cited_context	OSCAR	https://doi.org/10.48550/arXiv.2403.08693 (2024)	https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020)	The OSCAR dataset is used to evaluate multilingual text processing, particularly for non-English European languages, by assessing the quality and coverage of the corpus. It is created through deduplication of paragraphs from Common Crawl dumps, language identification with fastText, and text quality assessment using perplexity scores. This enables researchers to address specific linguistic tasks and improve multilingual corpora.	
Croatian Corpus	citing_context	ParlaMint corpus	https://www.semanticscholar.org/paper/2ff724bf76ebf908bf0ce0d08a10736ac60a549a (2022)	https://doi.org/10.1109/ICASSP.2015.7178964 (2015)	The ParlaMint corpus is used to develop and enhance Automatic Speech Recognition (ASR) systems for Croatian, specifically leveraging parliamentary proceedings. It is employed to build the first freely available ASR dataset for Croatian and to train in-house ASR models, focusing on improving speech recognition accuracy in legislative contexts. This dataset's extensive transcription of parliamentary speeches enables researchers to address the unique challenges of recognizing formal, legislative speech.	
Croatian Corpus	citing_context	PARSEME Croatian dataset	https://www.semanticscholar.org/paper/521226d684c390c76a3136c1e401e61de16d627c (2024)	https://www.semanticscholar.org/paper/1c7920a31c52fa9f7fe9731655cd4d75cd425788 (2018)	The PARSEME Croatian dataset is used to identify and annotate verbal multiword expressions (MWEs) in Croatian sentences. It focuses on automatic annotation and recognition of MWEs, enabling research in natural language processing tasks such as improving the accuracy of MWE identification in the Croatian language. This dataset supports the development and evaluation of algorithms for MWE recognition in shared tasks.	
Croatian Corpus	cited_context	PDT-based Croatian Dependency Treebank	https://www.semanticscholar.org/paper/a5e7d1e42e7c0010b450dbfb1dad52df9523e0a1 (2014)	https://doi.org/10.1007/978-3-642-40585-3_70 (2013)	The PDT-based Croatian Dependency Treebank is used as a reference for linguistic tagging and treebanking practices, aiding in the development of similar resources for Croatian. It supports experiments in named entity recognition for Croatian and Slovene, providing linguistic data for training and evaluation. Additionally, it facilitates inter-annotator agreement and statistical dependency parsing, enhancing syntactic formalisms and parsing performance in Croatian.	
Croatian Corpus	cited_context	Prague Dependency Treebank	https://www.semanticscholar.org/paper/a5e7d1e42e7c0010b450dbfb1dad52df9523e0a1 (2014)	https://doi.org/10.1007/978-94-010-0201-1_7 (2003)	The Prague Dependency Treebank is used as a reference for dependency parsing, providing a structured representation of syntactic dependencies in sentences. It serves as a benchmark for evaluating parsing algorithms and models, though its specific application to the Croatian language is not mentioned. The dataset's detailed annotation of linguistic structures enables researchers to develop and refine parsing techniques, enhancing the accuracy of natural language processing systems.	
Croatian Corpus	citing_context	SemEval-2017 Task 2	https://doi.org/10.18653/v1/2020.semeval-1.3 (2020)	https://doi.org/10.18653/v1/S17-2002 (2017)	The SemEval-2017 Task 2 dataset is used to evaluate multilingual and cross-lingual semantic word similarity, focusing on pairs of words in five different languages. Researchers employ this dataset to assess models' ability to capture semantic similarities across languages, enabling the development and refinement of multilingual natural language processing techniques.	
Croatian Corpus	cited_context | citing_context	SETimes	https://doi.org/10.18653/v1/2023.vardial-1.11 (2023)		The SETimes dataset is utilized for compiling a corpus of 9,258 whole documents in Croatian, supporting linguistic and computational analysis. It is also employed to study language classification in social media, particularly for identifying the language of tweets. The dataset includes user entries with labeled tweets, facilitating the analysis of linguistic patterns in Croatian and other languages. This dual use enhances both corpus linguistics and social media language identification research.; The SETimes dataset is used to compile a corpus of 9,258 documents from the SETimes website, focusing on Southeast European languages, including Croatian. It is also utilized for language classification in social media, specifically to identify the language of tweets. The dataset contains user entries with labeled tweets, enabling researchers to analyze linguistic patterns in Croatian and other languages. This dual use supports both corpus linguistics and computational linguistics, facilitating studies on language identification and classification.	
Croatian Corpus	citing_context	SimLex-999	https://doi.org/10.18653/v1/2020.semeval-1.3 (2020)	https://www.semanticscholar.org/paper/9ba6b2fdd0554dee0770fda2a413057482c51c65 (2019)	The SimLex-999 dataset is used to evaluate word similarity in Croatian and Finnish translations, focusing on semantic specialization and distributional vector spaces. It is adapted for annotation methodology to inform the development of similar resources for Croatian. The dataset also evaluates graded word similarity in context, examining inter-rater agreement and morphological variations in morphologically rich languages like Croatian.	
Croatian Corpus	citing_context	The Multilingual Amazon Reviews Corpus	https://doi.org/10.48550/arXiv.2305.08173 (2023)	https://www.semanticscholar.org/paper/5b476295e04c99577ec30865980102fb25832f18 (2013)	The Multilingual Amazon Reviews Corpus is used to train and evaluate models for sentiment analysis across multiple languages, including Croatian. Research focuses on cross-lingual transfer and model performance, leveraging the dataset's multilingual reviews to enhance and assess the effectiveness of sentiment analysis models in diverse linguistic contexts.	
Croatian Corpus	citing_context	tokenised and lemmatised versions of Wikipedia for 45 languages	https://doi.org/10.18653/v1/2020.semeval-1.3 (2020)	https://www.semanticscholar.org/paper/3ee4ea72679b2ec3814053a0ec5b5a16188b3948 (2017)	The tokenised and lemmatised versions of Wikipedia for 45 languages are used in research to conduct linguistic processing and analysis. This involves examining linguistic patterns across multiple languages. The dataset's comprehensive coverage of 45 languages and its pre-processed format enable researchers to efficiently analyze large-scale linguistic data, facilitating cross-linguistic studies and the identification of common and unique linguistic features.	
Croatian Corpus	cited_context	Twitter	https://doi.org/10.1017/jlg.2018.9 (2018)	https://doi.org/10.3115/v1/E14-1011 (2014)	The Twitter dataset is used to map dialectal variation in linguistic features, particularly in comparing the spatial distribution of these features to those established by traditional dialectological methods. This involves analyzing tweets to identify and geolocate linguistic patterns, enabling researchers to explore how language varies across different regions. The dataset's large volume and geotagged nature facilitate detailed spatial linguistic analysis.	
Croatian Corpus	citing_context	UWA dataset	https://doi.org/10.18653/v1/2020.semeval-1.3 (2020)	https://doi.org/10.18653/v1/2020.acl-main.747 (2019)	The UWA dataset is augmented with SemCor to train pretrained embeddings for each sense in WordNet, specifically supporting research on Croatian language processing. This methodology enhances the representation of word senses, enabling more accurate and nuanced natural language processing tasks in Croatian.	
Croatian Corpus	citing_context	VoxPopuli	https://www.semanticscholar.org/paper/2ff724bf76ebf908bf0ce0d08a10736ac60a549a (2022)	https://doi.org/10.21437/interspeech.2022-143 (2021)	The VoxPopuli dataset is used to study parliamentary debates in Croatian, leveraging 42 hours of transcribed speech data. It supports speech and language processing research, enabling the analysis of spoken content in legislative contexts. This dataset facilitates the development and evaluation of speech recognition and natural language processing techniques tailored to the Croatian language.	
Croatian Corpus	citing_context	XCOPA	https://doi.org/10.18653/v1/2024.vardial-1.7 (2024)	https://doi.org/10.22364/bjmc.2022.10.3.19 (2022)	The XCOPA dataset is used to evaluate cross-lingual language understanding, particularly in the choice of plausible alternatives task. It spans 11 languages, including Croatian, and is employed to assess models' ability to select the most appropriate continuation of a given context. This dataset enables researchers to compare performance across languages, providing insights into the effectiveness of cross-lingual transfer and model generalization.	
Czech Corpus	cited_context | citing_context	AKCES-GEC	https://doi.org/10.18653/v1/2021.acl-short.89 (2021), https://doi.org/10.18653/v1/D19-5545 (2019), https://doi.org/10.18653/v1/2020.aacl-main.83 (2020)	https://www.semanticscholar.org/paper/13e7359db140a0648f1f3a51532d97ab34fd80e9 (2016), https://www.semanticscholar.org/paper/cb90769caefe8a204d6c4839b6c0466efb041316 (2011)	The AKCES-GEC dataset is primarily used for grammatical error correction in non-native Czech writing, providing manually annotated transcripts of essays. It supports the study of syntactic and semantic structures through two-level annotation methods. Additionally, it is utilized for training and evaluating error correction models, particularly in low-resource scenarios, enhancing the performance of such systems in both Czech and German contexts.; The AKCES-GEC dataset is used for grammatical error correction in Czech, specifically focusing on identifying and correcting errors in learner texts. It leverages the morphological richness and syntactic complexity of the dataset to enhance error detection and correction. This dataset is employed to evaluate and improve grammatical error correction models, ensuring they effectively handle the nuances of written Czech.	
Czech Corpus	citing_context	Belebele	https://doi.org/10.48550/arXiv.2412.17933 (2024)	https://doi.org/10.18653/v1/2024.acl-long.44 (2023)	The Belebele dataset is used to evaluate reading comprehension across 122 languages, with a focus on translation quality and cross-lingual performance. Researchers employ this dataset to assess how well models understand and translate text, enabling the analysis of linguistic nuances and performance metrics across diverse languages. This dataset facilitates the comparison of model accuracy and robustness in multilingual settings.	
Czech Corpus	cited_context	CC-100	https://doi.org/10.18653/v1/2024.acl-long.44 (2023)	https://doi.org/10.48550/arXiv.2301.10472 (2023)	The CC-100 dataset is used as training data for multilingual masked language models, enabling researchers to compare the performance of models like XLM-V, XLM-R, and INFOXLM on low-resource languages. This dataset facilitates the evaluation of these models' effectiveness in handling less commonly studied languages, contributing to advancements in multilingual natural language processing.	
Czech Corpus	cited_context	CC25	https://doi.org/10.48550/arXiv.2212.10140 (2022)	https://www.semanticscholar.org/paper/c20c68c45127439139a08adb0b1f2b8354a94d6c (2019)	The CC25 dataset is used to train the mBART model, leveraging high-quality monolingual data extracted from web crawl data. This dataset enables researchers to enhance the performance of multilingual neural machine translation models by providing extensive, contextually rich textual content. The focus is on improving the quality and fluency of translations, particularly in low-resource languages.	
Czech Corpus	citing_context	CDSC	https://doi.org/10.48550/arXiv.2304.01922 (2023)	https://doi.org/10.48550/arXiv.2212.01692 (2022)	The CDSC dataset is primarily used for natural language processing tasks, including named entity recognition, classification, natural language inference, and question answering. It contains between 8,000 to 10,000 annotated instances, which are utilized to evaluate few-shot learning models and compositional distributional semantics in context-dependent scenarios. The dataset's thematic diversity, particularly its focus on Slavic languages, makes it valuable for assessing logical reasoning and sentiment analysis in these linguistic contexts.	
Czech Corpus	cited_context | citing_context	claim matching	https://doi.org/10.1007/s10579-023-09654-3 (2022)	https://doi.org/10.18653/v1/2021.acl-long.347 (2021)	The 'claim matching' dataset is used to detect and match claims in multilingual texts, specifically focusing on identifying and aligning similar claims across five languages. It includes over 5k examples for detection and over 2k claim pairs for matching. This dataset enables researchers to focus on verifying statements and aligning similar claims, enhancing cross-lingual claim analysis and verification methodologies.; The 'claim matching' dataset is used to align and detect claims in multilingual texts, specifically focusing on five languages. It includes over 2,000 claim pairs for matching and over 5,000 examples for detection. The dataset enables researchers to identify and verify similar statements across languages, facilitating cross-lingual claim analysis and verification.	
Czech Corpus	citing_context	C L ANG -8	https://doi.org/10.18653/v1/2021.acl-short.89 (2021)	https://www.semanticscholar.org/paper/6c4b76232bb72897685d19b3d264c6ee3005bc2b (2019)	The C L ANG -8 dataset is used to fine-tune T5 models for grammatical error correction (GEC), demonstrating superior performance compared to models trained on LANG-8. This dataset simplifies the training process for GEC models, making it an effective resource for enhancing the accuracy and efficiency of grammatical error correction in natural language processing tasks.	
Czech Corpus	cited_context	CLEF 2007 Czech test-collection	https://doi.org/10.1016/J.IPM.2009.06.001 (2009)	https://doi.org/10.1007/978-3-540-85760-0_4 (2008)	The CLEF 2007 Czech test-collection is used to evaluate morphological processing challenges in the Czech language, specifically focusing on stemming approaches and their effectiveness in information retrieval tasks. Researchers employ this dataset to assess and compare different stemming techniques, addressing the complexities of Czech morphology. This enables the development and refinement of algorithms that improve the accuracy and efficiency of information retrieval systems tailored for the Czech language.	
Czech Corpus	cited_context | citing_context	CNEC	https://doi.org/10.26615/978-954-452-072-4_149 (2021), https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	https://doi.org/10.18653/v1/W19-3712 (2019), https://doi.org/10.1007/978-3-540-74628-7_26 (2007)	The CNEC dataset is used to evaluate the performance of language models, specifically SlavicBERT and Czert-B, on named entity recognition tasks in the Czech language. It focuses on achieving state-of-the-art results and assessing model performance on language-specific tasks, contributing to advancements in Slavic language processing.; The CNEC dataset is primarily used for developing and evaluating named entity recognition (NER) systems for the Czech language. It focuses on annotating named entities in a corpus of approximately 6000 sentences with 150,000 tokens. Researchers use it to improve tagger accuracy, assess annotation quality, and compare annotation schemes with other corpora like CoNLL. The dataset serves as a crucial resource for NER in Czech, enabling the evaluation and development of models tailored to the language.	
Czech Corpus	cited_context	CNEC 1.1	https://doi.org/10.26615/978-954-452-072-4_065 (2021)	https://www.semanticscholar.org/paper/421fc2556836a6b441de806d7b393a35b6eaea58 (2018)	The CNEC 1.1 dataset is used to evaluate named entity recognition (NER) models, particularly Flair and BERT, in the Czech language. Research focuses on comparing model performance and the effects of combining these models. The dataset enables detailed performance assessments and helps identify the strengths and weaknesses of different NER approaches in Czech.	
Czech Corpus	citing_context	CNEC 2	https://doi.org/10.26615/978-954-452-072-4_119 (2021)	https://doi.org/10.18653/v1/P19-1527 (2019)	The CNEC 2 dataset is used to train the Czech model of the NameTag 2 neural named entity tagger, specifically for named entity recognition in the Czech language. This involves employing neural network methodologies to identify and classify named entities within Czech text, enhancing the accuracy of natural language processing tasks in this language.	
Czech Corpus	cited_context	CNEC 2.0	https://www.semanticscholar.org/paper/325955a4a078988450c73a6581d25f305dd133cc (2020)	https://www.semanticscholar.org/paper/f4ba954b0412773d047dc41231c733de0c1f4926 (2001)	The CNEC 2.0 dataset is used to evaluate Seq2Seq and LSTM-CRF models for Czech named entity recognition, focusing on segmentation and labeling accuracy in sequence data. This dataset enables researchers to assess model performance in identifying and classifying named entities within Czech text, providing a benchmark for comparing different approaches in natural language processing.	
Czech Corpus	cited_context	CoMMuTE	https://doi.org/10.48550/arXiv.2212.10140 (2022)	https://doi.org/10.3115/1073083.1073135 (2002)	The CoMMuTE dataset is used to evaluate machine translation models from English to Czech. Researchers employ metrics such as BLEU, COMET, and accuracy scores to assess the performance of these models. This dataset enables the systematic evaluation and comparison of different machine translation approaches, focusing on their effectiveness in translating between these two languages.	
Czech Corpus	cited_context	CoNLL corpora	https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	https://doi.org/10.3115/1118853.1118877 (2002)	The CoNLL corpora are used to evaluate the performance of language-independent named entity recognition (NER) systems, focusing on cross-lingual generalization and accuracy. These datasets enable researchers to assess how well NER models perform across different languages, providing a standardized benchmark for comparing system effectiveness in multilingual settings.	
Czech Corpus	cited_context	CoNLL-2009	https://doi.org/10.3115/1596409.1596418 (2009)	https://doi.org/10.3115/1596324.1596360 (2008)	The CoNLL-2009 dataset is used for training and evaluating models in syntactic and semantic dependency parsing across multiple languages, including Czech. It focuses on linguistic features and structures, enabling researchers to analyze and model syntactic and semantic dependencies. This dataset supports the development of robust parsing models by providing annotated data that captures complex linguistic relationships.	
Czech Corpus	citing_context	CoNLL version of the dataset	https://doi.org/10.26615/978-954-452-072-4_149 (2021)	https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	The CoNLL version of the dataset is used for training and evaluating a Conditional Random Fields (CRF)-based Czech named entity recognizer. It focuses on enhancing the accuracy of identifying entities in Czech text, specifically addressing the challenges of named entity recognition in this language. The dataset's structured annotations enable researchers to develop and refine models that improve entity identification performance.	
Czech Corpus	citing_context	Corpus of Czech Verse	https://doi.org/10.18653/v1/2025.nlp4dh-1.45 (2025)	https://doi.org/10.12697/SMP.2015.2.1.05 (2015)	The Corpus of Czech Verse is used for linguistic and literary analysis of Czech poetry, containing 80,229 poems. Researchers employ this dataset to study the structural and thematic elements of Czech verse, enabling detailed examinations of poetic language and literary trends. The large scale of the corpus supports comprehensive and statistically robust analyses, facilitating insights into the evolution and characteristics of Czech poetry.	
Czech Corpus	citing_context	CSFD	https://doi.org/10.48550/arXiv.2204.13915 (2022)	https://www.semanticscholar.org/paper/1c61f9ef06fe74505775a833ff849185757199e7 (2011)	The CSFD dataset is used for analyzing sentiment in Czech movie reviews, often compared with the English IMDB dataset to explore cross-lingual sentiment analysis methodologies. Research focuses on understanding the effectiveness of sentiment analysis techniques across languages, leveraging the dataset's specific context in Czech cinema to enhance cross-lingual studies.	
Czech Corpus	cited_context	CSFD CZ	https://doi.org/10.1007/978-3-030-27947-9_18 (2019)	https://www.semanticscholar.org/paper/4d16a47fb6708704b155855045c9e5d2ea380bb0 (2013)	The CSFD CZ dataset is used to train sentiment analysis models, specifically focusing on user comments from the ČSFD film database. This enables researchers to analyze and understand public opinion and sentiment expressed in Czech social media. The dataset's focus on film-related comments provides a rich source of data for evaluating sentiment in a culturally relevant context.	
Czech Corpus	citing_context	CsFEVER	https://www.semanticscholar.org/paper/b0135059c206073c4a876eaab21d3f6bc11c3a94 (2022)	https://doi.org/10.18653/v1/N19-1423 (2019)	The CsFEVER dataset is used to fine-tune the M-Bert model for Czech language fact verification. It focuses on retrieving top-ranking documents for queries, enhancing the model's ability to accurately verify facts in the Czech language. This dataset enables researchers to improve the performance of natural language processing models in specific linguistic contexts.	
Czech Corpus	cited_context | citing_context	CsFEVER-NLI	https://doi.org/10.1007/s10579-023-09654-3 (2022), https://doi.org/10.48550/arXiv.2412.17933 (2024), https://doi.org/10.1007/s00521-024-10113-5 (2023)	https://doi.org/10.1609/aaai.v33i01.33016859 (2018)	The CsFEVER-NLI dataset is used to evaluate and improve model performance on fact extraction and verification tasks, particularly through neural semantic matching. It includes 228k translated FEVER-NLI pairs and data from CTK articles, expanding multilingual NLI benchmarks with native Czech content. This dataset supports research in natural language inference, enhancing multilingual benchmarks and machine translation accuracy for fact verification.; The CsFEVER-NLI dataset is used to facilitate fact extraction and verification in the Czech language. It involves translating 228k FEVER-NLI pairs into Czech, enabling researchers to evaluate model performance on these tasks, particularly through neural semantic matching. Studies compare macro-F1 scores between English and Czech translations, highlighting the dataset's role in cross-lingual evaluation and improvement of fact verification models.	
Czech Corpus	citing_context	CsRest-M	https://www.semanticscholar.org/paper/0122f11e2f92c2eae8a0d8001b97c5410f4e6f2e (2024)	https://doi.org/10.1109/IJCNN.2018.8489042 (2018)	The CsRest-M dataset is used to evaluate the RobeCzech model on the E2E-ABSA task, specifically for aspect extraction and sentiment analysis in Czech restaurant reviews. This dataset enables researchers to assess the performance of natural language processing models in understanding and analyzing customer sentiments and specific aspects mentioned in reviews.	
Czech Corpus	citing_context	CTK corpus	https://www.semanticscholar.org/paper/b0135059c206073c4a876eaab21d3f6bc11c3a94 (2022)	https://www.semanticscholar.org/paper/98bb75dcb7dfe8e675781fe2008170e8f00a5dee (2021)	The CTK corpus is used to annotate claims and evidence from a news agency archive, focusing on non-encyclopedic language styles. It is employed to verify facts over unstructured and structured information, using a ground truth corpus extracted from press agency articles. This dataset enables research into fact-checking and claim verification methods, particularly in contexts that differ from Wikipedia-based datasets.	
Czech Corpus	citing_context	CTKFacts	https://doi.org/10.48550/arXiv.2304.01922 (2023)	https://doi.org/10.1007/s10579-023-09654-3 (2022)	The CTKFacts dataset is used for natural language inference (NLI) in the context of fact verification, specifically for the Czech language. It consists of premises extracted from Wikipedia and manually annotated hypotheses. Researchers use this dataset to assess NLI in standard settings, focusing on the accuracy of fact verification tasks. The dataset's manual annotations and Czech-specific content enable detailed analysis of NLI models' performance in verifying factual claims.	
Czech Corpus	cited_context | citing_context	Czech corpus of 11,000 manually annotated NEs	https://www.semanticscholar.org/paper/0122f11e2f92c2eae8a0d8001b97c5410f4e6f2e (2024), https://doi.org/10.18653/v1/W19-3709 (2019), https://doi.org/10.18653/v1/2023.bsnlp-1.21 (2023), https://doi.org/10.18653/v1/W17-1412 (2017)	https://doi.org/10.13053/cys-20-3-2469 (2016), https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	The Czech dataset (Hercig et al., 2016) is primarily used to enhance and evaluate aspect-based sentiment analysis in the Czech language. It has been re-annotated and expanded with over 1,000 new reviews, improving its coverage and quality. The dataset is utilized to evaluate tasks such as aspect term extraction (ATE), aspect category detection (ACD), and sentiment classification, often serving as a reference format similar to SemEval-2014. It supports both supervised and unsupervised methods, particularly in the context of restaurant reviews, and has been used to assess the performance of CNN and RNN models in identifying sentiment polarity of aspect categories.; The Czech corpus of 11,000 manually annotated NEs is primarily used to train and evaluate named entity recognition (NER) models for the Czech language. Researchers focus on improving the accuracy and coverage of entity annotations, using the dataset to develop and evaluate NER tools and systems. The corpus's fine-grained annotation and large, manually labeled dataset enable detailed assessments of entity recognition performance in Czech text.	Czech dataset (Hercig et al., 2016)
Czech Corpus	citing_context	Czech ABSA dataset	https://www.semanticscholar.org/paper/0122f11e2f92c2eae8a0d8001b97c5410f4e6f2e (2024)	https://doi.org/10.3115/v1/S14-2004 (2014)	The Czech ABSA dataset is used to evaluate aspect term extraction (ATE), aspect category detection (ACD), and sentiment classification tasks in the Czech language, particularly for restaurant reviews. It provides a comparable format to SemEval-2014, serving as a reference for creating and annotating Czech datasets. Research focuses on the annotation format's limitations, such as the lack of linking aspect terms and categories, and its effectiveness in conducting aspect-based sentiment analysis.	
Czech Corpus	citing_context	Czech aspect-based sentiment dataset	https://doi.org/10.48550/arXiv.2204.13915 (2022)	https://doi.org/10.3115/v1/S14-2004 (2014)	The Czech aspect-based sentiment dataset is used to evaluate aspect-based sentiment analysis specifically in the Czech language. Researchers focus on comparing the performance of models using the same domain and label set as those used in English datasets. This allows for a direct comparison between languages, ensuring that the methodologies and evaluation metrics are consistent. The dataset's relevance lies in its ability to provide insights into the nuances of sentiment analysis in the Czech language, facilitating cross-lingual research and model development.	
Czech Corpus	cited_context	Czech Aspect-Based Sentiment Analysis	https://doi.org/10.13053/cys-20-3-2469 (2016)	https://www.semanticscholar.org/paper/f56e63471a1773f1068e3c962b2cbf29d2f28608 (2015)	The Czech Aspect-Based Sentiment Analysis dataset is used to conduct sentiment analysis on Czech IT product reviews, specifically focusing on aspect-based evaluation. Researchers employ this dataset to analyze sentiments related to various aspects of products, such as performance or design, and report preliminary results. This dataset enables detailed, aspect-focused sentiment analysis in the Czech language, providing insights into consumer opinions and preferences.	
Czech Corpus	cited_context	Czech Cess	https://www.semanticscholar.org/paper/90b4b1b6e5ef410dd2f285734789422d79bb2974 (2008)	https://doi.org/10.1007/S11168-004-7429-X (2004)	The Czech Cess dataset is used to build AnCora incrementally, primarily from newspaper and newswire articles. It focuses on linguistic annotation and corpus development, enabling researchers to enhance the quality and scope of annotated linguistic resources. This dataset supports the creation of detailed linguistic annotations, which are crucial for developing and improving natural language processing tools and systems.	
Czech Corpus	citing_context	Czech CMC4	https://doi.org/10.48550/arXiv.2404.18534 (2024)	https://doi.org/10.1201/b18055-8 (2006)	The Czech CMC4 dataset is used to train and evaluate models on Czech language tasks, addressing specific linguistic challenges. Researchers focus on performance metrics to assess model effectiveness, leveraging the dataset's relevance to Czech linguistic nuances. This enables detailed analysis and improvement of model performance in Czech language processing tasks.	
Czech Corpus	cited_context	Czech CNEC	https://doi.org/10.18653/v1/P19-1527 (2019)	https://doi.org/10.1093/BIOINFORMATICS/BTG1023 (2003)	The Czech CNEC dataset is used to evaluate nested Named Entity Recognition (NER) models, specifically focusing on their performance with Czech language nested entities. Researchers compare the proposed models against state-of-the-art methods to assess improvements in recognizing complex, hierarchical named entities within the Czech language. This dataset enables detailed performance evaluations and advancements in NER for Czech.	
